,Year,Month,Anomaly-Gl,Uncertainty-Gl,Anomaly-NH,Uncertainty-NH,Anomaly-SH,Uncertainty-SH
321,1779,10,0.155,2.497,,,,
322,1779,11,-0.191,2.001,,,,
323,1779,12,-1.272,2.443,,,,
324,1780,1,-0.057,3.789,,,,
325,1780,2,0.578,4.85,,,,
326,1780,3,-0.506,2.365,,,,
327,1780,4,3.97,3.33,,,,
328,1780,5,2.969,2.544,,,,
329,1780,6,0.239,2.823,,,,
330,1780,7,0.896,1.624,,,,
331,1780,8,-1.275,2.353,,,,
332,1780,9,-2.995,2.652,,,,
333,1780,10,0.678,1.577,,,,
334,1780,11,0.337,2.46,,,,
335,1780,12,-1.475,2.879,,,,
336,1781,1,-0.028,4.88,,,,
337,1781,2,-0.667,4.033,,,,
338,1781,3,-0.597,2.091,,,,
339,1781,4,-1.417,2.083,,,,
340,1781,5,-0.242,1.507,,,,
341,1781,6,-1.785,1.413,,,,
342,1781,7,-0.062,1.498,,,,
343,1781,8,0.481,1.123,,,,
344,1781,9,-1.707,2.726,,,,
345,1781,10,-0.478,1.37,,,,
346,1781,11,1.554,2.654,,,,
347,1781,12,-0.271,3.595,,,,
348,1782,1,-1.975,2.557,,,,
349,1782,2,-2.117,3.585,,,,
350,1782,3,-2.405,3.831,,,,
351,1782,4,0.292,1.38,,,,
352,1782,5,0.178,1.528,,,,
353,1782,6,0.19,1.132,,,,
354,1782,7,-0.427,1.509,,,,
355,1782,8,1.574,1.464,,,,
356,1782,9,0.476,1.266,,,,
357,1782,10,-0.654,4.371,,,,
358,1782,11,-1.473,3.804,,,,
359,1782,12,-1.355,3.231,,,,
360,1783,1,-3.229,4.249,,,,
361,1783,2,1.611,3.002,,,,
362,1783,3,-0.904,2.065,,,,
363,1783,4,-0.3,1.877,,,,
364,1783,5,0.532,2.31,,,,
365,1783,6,1.337,1.533,,,,
366,1783,7,-1.142,1.552,,,,
367,1783,8,-0.021,1.054,,,,
368,1783,9,-2.313,1.739,,,,
369,1783,10,-1.342,2.428,,,,
370,1783,11,-3.577,2.24,,,,
371,1783,12,-0.959,2.628,,,,
372,1784,1,-0.193,5.043,,,,
373,1784,2,-1.728,4.55,,,,
374,1784,3,-0.931,2.241,,,,
375,1784,4,-0.197,3.439,,,,
376,1784,5,-1.862,2.212,,,,
377,1784,6,-0.274,1.175,,,,
378,1784,7,0.392,2.962,,,,
379,1784,8,1.396,3.848,,,,
380,1784,9,-1.692,2.217,,,,
381,1784,10,-1.389,2.296,,,,
382,1784,11,-1.031,2.434,,,,
383,1784,12,-0.42,3.586,,,,
384,1785,1,-0.14,3.626,,,,
385,1785,2,-1.318,3.078,,,,
386,1785,3,-4.007,2.174,,,,
387,1785,4,-1.479,1.444,,,,
388,1785,5,-1.207,2.833,,,,
389,1785,6,1.245,2.082,,,,
390,1785,7,0.248,2.151,,,,
391,1785,8,0.767,2.117,,,,
392,1785,9,-1.443,2.162,,,,
393,1785,10,-1.16,2.864,,,,
394,1785,11,0.085,2.781,,,,
395,1785,12,-1.978,2.315,,,,
396,1786,1,-2.221,2.836,,,,
397,1786,2,-1.239,2.902,,,,
398,1786,3,0.634,3.226,,,,
399,1786,4,0.209,1.809,,,,
400,1786,5,0.062,2.151,,,,
401,1786,6,0.064,0.999,,,,
402,1786,7,0.991,2.006,,,,
403,1786,8,0.899,3.41,,,,
404,1786,9,0.637,3.655,,,,
405,1786,10,-0.617,2.141,,,,
406,1786,11,-2.461,3.148,,,,
407,1786,12,-3.45,2.934,,,,
408,1787,1,0.845,2.612,,,,
409,1787,2,-0.11,2.862,,,,
410,1787,3,-0.038,2.715,,,,
411,1787,4,-0.987,2.047,,,,
412,1787,5,0.079,3.207,,,,
413,1787,6,0.844,2.874,,,,
414,1787,7,-0.627,2.8,,,,
415,1787,8,-0.283,1.637,,,,
416,1787,9,-1.835,1.627,,,,
417,1787,10,-1.077,3.114,,,,
418,1787,11,-0.773,2.617,,,,
419,1787,12,-0.853,2.372,,,,
420,1788,1,-2.22,3.1,,,,
421,1788,2,0.416,3.893,,,,
422,1788,3,-0.561,2.975,,,,
423,1788,4,-0.031,2.12,,,,
424,1788,5,-0.633,1.052,,,,
425,1788,6,0.531,1.242,,,,
426,1788,7,2.274,2.607,,,,
427,1788,8,0.624,1.819,,,,
428,1788,9,-0.123,1.048,,,,
429,1788,10,0.376,1.446,,,,
430,1788,11,0.491,1.675,,,,
431,1788,12,-3.842,6.19,,,,
432,1789,1,0.708,2.824,,,,
433,1789,2,-0.742,2.631,,,,
434,1789,3,-1.122,2.655,,,,
435,1789,4,-1.001,1.156,,,,
436,1789,5,0.021,2.424,,,,
437,1789,6,-0.297,1.015,,,,
438,1789,7,0.796,1.772,,,,
439,1789,8,-0.053,1.031,,,,
440,1789,9,0.035,1.332,,,,
441,1789,10,-1.019,2.523,,,,
442,1789,11,0.257,1.772,,,,
443,1789,12,0.422,1.702,,,,
444,1790,1,0.557,2.846,,,,
445,1790,2,0.247,2.611,,,,
446,1790,3,-0.46,1.63,,,,
447,1790,4,-1.611,1.963,,,,
448,1790,5,-0.953,1.07,,,,
449,1790,6,0.123,1.378,,,,
450,1790,7,-0.912,1.019,,,,
451,1790,8,-0.554,1.021,,,,
452,1790,9,-0.739,1.446,,,,
453,1790,10,-0.447,1.595,,,,
454,1790,11,-0.756,1.742,,,,
455,1790,12,0.257,4.039,,,,
456,1791,1,0.939,4.718,,,,
457,1791,2,0.243,2.651,,,,
458,1791,3,0.263,2.662,,,,
459,1791,4,0.235,1.465,,,,
460,1791,5,-0.836,1.635,,,,
461,1791,6,-0.309,0.746,,,,
462,1791,7,-0.93,0.899,,,,
463,1791,8,-0.158,0.849,,,,
464,1791,9,-0.791,0.926,,,,
465,1791,10,-1.14,1.206,,,,
466,1791,11,0.263,1.82,,,,
467,1791,12,0.023,2.035,,,,
468,1792,1,-2.167,3.211,,,,
469,1792,2,0.621,2.784,,,,
470,1792,3,-0.536,1.911,,,,
471,1792,4,-0.491,1.571,,,,
472,1792,5,0.308,1.113,,,,
473,1792,6,0.782,1.317,,,,
474,1792,7,0.218,1.444,,,,
475,1792,8,-1.369,1.371,,,,
476,1792,9,0.155,2.757,,,,
477,1792,10,-1.222,1.313,,,,
478,1792,11,-0.971,2.316,,,,
479,1792,12,-0.168,2.537,,,,
480,1793,1,-1.126,3.14,,,,
481,1793,2,1.566,3.722,,,,
482,1793,3,-0.036,2.228,,,,
483,1793,4,0.466,2.216,,,,
484,1793,5,-0.468,1.254,,,,
485,1793,6,-0.649,1.744,,,,
486,1793,7,-0.311,1.52,,,,
487,1793,8,-0.691,1.85,,,,
488,1793,9,-0.606,2.606,,,,
489,1793,10,-0.944,1.319,,,,
490,1793,11,-0.564,3.661,,,,
491,1793,12,-1.54,2.02,,,,
492,1794,1,1.065,3.094,,,,
493,1794,2,0.034,3.878,,,,
494,1794,3,0.873,1.768,,,,
495,1794,4,0.541,1.587,,,,
496,1794,5,0.959,1.886,,,,
497,1794,6,-1.643,1.701,,,,
498,1794,7,-1.866,2.334,,,,
499,1794,8,-0.488,1.179,,,,
500,1794,9,0.333,1.508,,,,
501,1794,10,-0.234,1.223,,,,
502,1794,11,-0.304,2.135,,,,
503,1794,12,-0.446,2.346,,,,
504,1795,1,0.447,2.354,,,,
505,1795,2,1.366,3.181,,,,
506,1795,3,0.803,1.785,,,,
507,1795,4,1.084,1.536,,,,
508,1795,5,0.401,2.178,,,,
509,1795,6,-1.246,1.301,,,,
510,1795,7,-0.109,2.046,,,,
511,1795,8,-0.099,2.379,,,,
512,1795,9,-1.554,1.064,,,,
513,1795,10,-1.105,1.428,,,,
514,1795,11,-0.565,2.889,,,,
515,1795,12,0.161,2.816,,,,
516,1796,1,1.12,3.302,,,,
517,1796,2,0.274,2.623,,,,
518,1796,3,-2.22,1.93,,,,
519,1796,4,-0.766,1.735,,,,
520,1796,5,-0.339,0.904,,,,
521,1796,6,0.525,1.921,,,,
522,1796,7,-0.558,0.957,,,,
523,1796,8,0.568,1.935,,,,
524,1796,9,-0.234,2.437,,,,
525,1796,10,-0.251,1.687,,,,
526,1796,11,-0.801,2.178,,,,
527,1796,12,-2.523,2.8,,,,
528,1797,1,2.104,4.205,,,,
529,1797,2,2.684,2.975,,,,
530,1797,3,-1.007,2.772,,,,
531,1797,4,-1.399,2.223,,,,
